startTime(s),ecgSDNN,ecgRMSSD,ecgTriindex
0.0,47.33991,46.797955,5.428571
3.224609375,34.883926,35.565056,3.9
6.44921875,21.508482,12.385987,4.75
9.673828125,24.148151,14.805081,5.428571
12.8984375,26.720766,15.527037,5.142857
16.123046875,42.42799,36.025948,5.142857
19.34765625,53.044746,41.824768,7.2
22.572265625,23.873564,22.51427,4.857143
25.796875,28.3303,26.09021,5.8333335
29.021484375,28.796303,27.188541,6.6
32.24609375,31.373674,28.841679,6.6
35.470703125,54.84844,51.99794,6.6
38.6953125,44.411476,35.613556,5.3333335
41.919921875,42.681408,39.589752,5.3333335
45.14453125,59.915096,58.27823,7.75
48.369140625,41.06445,45.41115,7.5
51.59375,41.31976,50.32459,7.5
54.818359375,45.53236,54.139954,7.5
58.04296875,64.80038,75.54779,7.25
61.267578125,77.49539,80.02451,9.666667
64.4921875,85.48337,86.240295,9.333333
67.716796875,91.19033,101.03179,7.0
70.94140625,74.92101,81.24769,6.75
74.166015625,98.40056,98.233246,7.0
77.390625,74.32076,96.09722,9.333333
80.615234375,65.454124,83.94768,9.0
83.83984375,70.3215,87.61612,9.333333
87.064453125,70.454254,83.2148,9.0
90.2890625,62.627872,74.522705,7.0
93.513671875,88.45196,93.90559,9.0
96.73828125,69.40787,82.38819,9.0
99.962890625,72.45112,83.75612,9.333333
103.1875,108.82119,97.546234,5.6
106.412109375,68.47771,78.75043,5.2
109.63671875,65.10926,76.89175,6.75
112.861328125,64.940025,73.21588,6.5
116.0859375,86.318436,92.48413,8.666667
119.310546875,75.18767,82.98439,9.0
122.53515625,78.52452,81.8385,13.0
125.759765625,71.64493,73.06619,9.0
128.984375,84.031204,90.53027,6.75
132.208984375,59.95006,64.92488,6.75
135.43359375,62.82191,67.83258,9.0
138.658203125,90.83176,105.69318,13.5
141.8828125,73.90873,87.56612,9.333333
145.107421875,72.11143,87.83434,9.333333
148.33203125,76.947235,89.85518,9.0
151.556640625,69.60537,83.095634,9.333333
154.78125,71.5896,75.27536,9.333333
158.005859375,60.80656,59.71194,9.666667
