startTime(s),ecgSDNN,ecgRMSSD,ecgTriindex
0.0,11.528465,4.98442,2.1052632
3.265625,5.989597,3.8811293,1.7391304
6.53125,7.124221,3.931865,2.0526316
9.796875,9.651583,3.9305882,2.7333333
13.0625,9.617541,3.9788182,3.1538463
16.328125,6.375812,3.4685686,2.857143
19.59375,6.0948205,3.647264,2.3529413
22.859375,42.72609,41.23014,2.4117646
26.125,5.610142,3.48264,2.3529413
29.390625,6.150734,3.3538733,2.5
32.65625,9.465412,3.9436312,3.0769231
35.921875,9.962828,4.184314,3.3333333
39.1875,10.0425205,4.580484,3.7272727
42.453125,11.031055,4.528134,4.1
45.71875,10.518121,4.744124,2.9285715
48.984375,25.098078,22.642776,3.4166667
52.25,9.57228,4.532182,3.0769231
55.515625,12.755631,4.6834292,3.7272727
58.78125,12.568625,4.5386524,3.7272727
62.046875,12.945653,4.865253,4.0
65.3125,13.077301,4.617703,4.0
68.578125,10.14283,4.743093,2.857143
71.84375,7.36721,4.2271557,2.1666667
75.109375,6.747919,4.274388,2.2941177
78.375,76.365074,111.33044,2.375
81.640625,75.69955,109.84255,2.6
84.90625,76.66211,109.83798,3.5454545
88.171875,84.08795,114.22967,3.6363637
91.4375,88.83918,116.91374,3.1538463
94.703125,76.5726,108.417946,2.857143
97.96875,8.660024,3.396978,2.5625
101.234375,8.574922,3.6091268,3.0
104.5,8.12483,4.050086,2.2777777
107.765625,9.556157,4.4215746,2.2777777
111.03125,33.470776,34.565346,2.5625
114.296875,8.680722,4.422957,2.2222223
117.5625,7.6145225,4.3561077,1.9047619
120.828125,22.913996,21.14207,2.05
124.09375,12.984081,4.6219373,2.2777777
127.359375,11.820663,4.378798,2.2941177
130.625,23.969765,23.961653,3.6363637
133.890625,28.547096,27.126469,2.857143
137.15625,28.451864,39.87513,2.4375
140.421875,28.497425,39.819706,2.6
143.6875,28.270529,39.87387,2.4375
146.953125,27.333733,39.344437,2.6666667
150.21875,28.770266,39.415226,2.6666667
153.484375,13.856992,6.394195,2.6666667
156.75,19.974487,13.8210335,2.5625
160.015625,15.703366,6.1126485,2.857143
