startTime(s),ecgSDNN,ecgRMSSD,ecgTriindex
0.0,71.09944,68.60761,4.0
3.234375,74.92426,121.83049,3.5714285
6.46875,127.61251,143.42303,3.857143
9.703125,162.7351,228.98032,4.5
12.9375,162.18578,240.87883,5.2
16.171875,159.82918,230.7719,6.75
19.40625,180.90134,227.05896,9.666667
22.640625,177.67848,227.53957,6.0
25.875,165.65724,190.16832,7.5
29.109375,167.66362,157.86143,6.0
32.34375,146.26523,131.50304,6.75
35.578125,133.52583,134.87428,6.5
38.8125,138.89615,174.11697,5.4
42.046875,163.50314,150.23445,5.4
45.28125,164.99194,164.72012,6.5
48.515625,160.76566,161.17947,6.75
51.75,173.55138,165.9343,6.75
54.984375,177.24522,164.9394,5.6
58.21875,166.48799,131.07513,5.6
61.453125,119.233864,122.62453,3.7142856
64.6875,121.052956,124.53491,3.375
67.921875,141.87694,147.72754,3.7142856
71.15625,97.94735,151.12074,3.5714285
74.390625,135.5202,180.54565,3.857143
77.625,131.57347,198.1279,5.0
80.859375,172.15375,240.31503,6.5
84.09375,144.7263,222.98653,6.25
87.328125,147.49112,227.67488,6.25
90.5625,174.81963,262.16293,6.5
93.796875,202.67194,277.2235,9.333333
97.03125,195.29674,235.08765,9.333333
100.265625,169.76727,236.963,9.0
103.5,178.18501,247.49232,13.5
106.734375,176.4552,233.47528,6.75
109.96875,175.94693,175.67271,4.5
113.203125,83.87927,121.39265,2.6666667
116.4375,137.74,138.41144,2.7777777
119.671875,86.91604,93.41795,3.5714285
122.90625,46.651623,69.93397,3.5714285
126.140625,53.731647,68.31984,4.1666665
129.375,67.03829,78.77133,3.5714285
132.609375,67.80776,98.34151,3.5714285
135.84375,93.14434,135.6227,6.25
139.078125,56.945683,64.910194,5.0
142.3125,131.46413,138.47366,8.666667
145.546875,128.89714,162.88676,9.0
148.78125,120.03601,143.0866,6.75
152.015625,115.611244,129.62302,6.75
155.25,114.184814,125.33707,6.5
158.484375,116.070526,125.32063,6.5
