startTime(s),ecgSDNN,ecgRMSSD,ecgTriindex
0.0,36.219456,33.751503,6.25
3.228515625,58.35091,51.795757,6.5
6.45703125,27.66161,29.879726,5.0
9.685546875,44.94449,42.149994,5.4
12.9140625,93.1209,62.99454,6.75
16.142578125,41.22272,24.62797,6.5
19.37109375,38.559856,23.923864,6.75
22.599609375,40.429554,25.697914,9.0
25.828125,65.30023,68.542046,7.0
29.056640625,54.149174,50.353283,6.75
32.28515625,109.4531,125.93352,9.333333
35.513671875,137.43837,151.6739,13.5
38.7421875,160.46962,154.49898,13.0
41.970703125,169.36533,153.39183,12.5
45.19921875,161.17554,156.43452,12.5
48.427734375,149.18637,144.86847,8.333333
51.65625,150.48254,93.25107,8.333333
54.884765625,86.52218,66.88903,4.8
58.11328125,95.59258,79.255135,6.25
61.341796875,121.02222,90.47165,6.5
64.5703125,153.21715,133.65274,9.0
67.798828125,102.77042,97.569496,6.5
71.02734375,177.7413,135.75221,7.0
74.255859375,100.590416,94.08388,8.666667
77.484375,176.81471,137.85797,9.0
80.712890625,167.3119,134.79916,14.0
83.94140625,99.27861,115.97112,6.75
87.169921875,70.43597,76.31197,5.2
90.3984375,82.96376,107.55155,4.5
93.626953125,92.46784,132.53326,4.5
96.85546875,32.680202,25.828896,3.857143
100.083984375,76.33607,55.354153,5.4
103.3125,32.76788,28.564053,9.0
106.541015625,111.038666,104.6835,9.333333
109.76953125,107.870094,103.247765,9.333333
112.998046875,137.85628,117.56357,9.666667
116.2265625,123.50513,106.75165,9.333333
119.455078125,117.408066,99.66091,9.0
122.68359375,121.75157,103.04436,14.0
125.912109375,51.33733,27.198275,6.5
129.140625,154.94244,106.26946,7.0
132.369140625,162.49039,126.85932,7.5
135.59765625,140.18698,105.15244,7.25
138.826171875,138.82492,109.744194,6.0
142.0546875,145.46556,107.218124,7.25
145.283203125,148.03026,99.0195,9.666667
148.51171875,82.1385,87.26574,6.75
151.740234375,67.82717,69.88867,5.4
154.96875,84.586754,86.81993,5.6
158.197265625,70.54406,83.605,5.6
