startTime(s),SpLength,SpBCEA,SpConvexHull,SpFractalDimension,SpRQARecRate,SpRQADet,SpRQALam
0.0,1500.1565186206199,47576.28600565513,51154.26637528511,1.7749342824917806,15.032679738562091,26.08695652173913,13.043478260869565
3.24,1633.9330701356594,55494.23427888745,57317.38698663586,1.669798041983454,16.33986928104575,24.0,12.0
6.48,2156.5630317701934,78784.06654717955,81406.13671641098,1.921256660105558,17.647058823529413,33.333333333333336,12.5
9.72,2375.215333721032,90233.62248182898,81363.46146397246,2.14824935063227,18.681318681318682,38.23529411764706,17.647058823529413
12.96,2267.9438293228773,95398.79034299948,81363.46146397246,2.2625338997731963,17.94871794871795,35.714285714285715,21.42857142857143
16.2,2227.390810529736,100731.06392238953,79908.97447984549,2.935708297318648,9.090909090909092,0.0,0.0
19.44,2751.5474587012036,54996.47097705305,56940.00482706982,2.3558746416581857,11.538461538461538,0.0,0.0
22.68,2638.968487023903,49109.12354006437,57904.92148315767,2.5714780263070676,23.076923076923077,28.57142857142857,19.047619047619047
25.92,1833.3863488539969,52029.887342741415,61505.62326618959,3.038474854024766,25.641025641025642,30.0,20.0
29.16,2527.7125055711035,59758.78734936413,81697.63765371358,2.1836340473872355,24.761904761904763,34.61538461538461,11.538461538461538
32.4,2581.7301692813508,56771.16813669241,81697.63765371358,2.1920870275614988,25.833333333333332,30.64516129032258,0.0
35.64,2429.933642291636,62771.697057997764,81697.63765371358,2.2047693105008346,18.333333333333332,29.545454545454547,0.0
38.88,1902.8088373126627,35398.986683199655,39547.49673320516,2.522156719242628,20.512820512820515,12.5,0.0
42.12,1602.0318135554965,31996.733650450537,32001.40233213664,3.1606428136612825,21.818181818181817,16.666666666666668,0.0
45.36,1293.9086690603635,40530.322963222054,36403.71516304929,2.5608357633338423,21.818181818181817,16.666666666666668,0.0
48.6,1096.3887887947167,46332.030616659154,42180.8269993423,3.368283077279724,16.666666666666668,0.0,0.0
51.84,1628.0499412408985,39167.15320804269,44861.84277787595,2.5501876993841437,26.923076923076923,23.80952380952381,42.857142857142854
55.08,1604.3806302582038,38173.31568990962,44861.84277787595,2.4572572861216435,30.76923076923077,20.833333333333336,37.5
58.32,1491.3969997842592,38189.051013507684,44076.30650105281,2.522044107186695,24.358974358974358,18.42105263157895,47.36842105263158
61.56,1655.9312605702562,55169.631432671435,64590.21127591515,2.333503465693464,19.047619047619047,7.5,45.0
64.8,1904.7988022780357,59735.90309147331,76576.54435468628,2.405233848865163,21.666666666666668,11.538461538461538,34.61538461538461
68.04,2089.0330993699117,50866.012445187254,65400.805674028816,2.296944327544963,20.915032679738562,9.375,28.125
71.28,1584.6602006460125,60643.50148728561,61385.92666168325,2.88797181082531,16.666666666666668,0.0,0.0
74.52,2018.9921297806618,66559.82998274073,75549.72437001648,2.3493065880938633,16.19047619047619,0.0,0.0
77.76,2084.448766914636,68000.5309705127,75549.72437001648,2.4266212895543897,14.285714285714286,0.0,0.0
81.0,1569.1771947196419,55013.42381755687,42144.21277777781,3.28841998195237,14.545454545454545,0.0,0.0
84.24,1129.0657628065715,48572.17480016444,35808.828571428545,2.7824137226295313,13.333333333333334,0.0,0.0
87.48,1093.1293457402978,50829.58310393066,49553.60221214406,2.8506843294587676,19.23076923076923,50.0,46.66666666666667
90.72,1212.9345148521859,43972.955068721494,49553.60221214406,2.623245594352541,19.23076923076923,50.0,46.66666666666667
93.96,1354.1685342091698,33809.63244620947,39541.94686421333,2.262280213052558,22.857142857142858,31.250000000000004,41.66666666666667
97.2,1859.1484384643838,43244.81920320968,47654.57998787821,2.0502787961619333,17.647058823529413,27.77777777777778,37.03703703703704
100.44,2416.2573746946223,39951.58490982442,51692.76982914796,2.0021840561877458,18.972332015810277,26.041666666666668,27.083333333333336
103.68,3089.2882934189956,47260.82735694065,66599.01727787568,1.9665769460751228,17.0,26.470588235294116,25.49019607843137
106.92,3503.674207711005,69458.84261458203,103964.11736117816,1.9856271602062927,15.810276679841897,16.25,15.0
110.16,3672.740833151438,71207.6747057761,106294.96702697058,1.9941363524520164,14.855072463768115,14.634146341463413,7.317073170731707
113.4,3457.288417240949,76429.27763413123,110526.29556091363,1.9778808716768066,12.648221343873518,9.375,0.0
116.64,2187.460756091306,73736.88221160747,84594.30542279757,2.3191359381106955,16.19047619047619,0.0,0.0
119.88,2140.6679552668056,75971.22470246546,75954.33920546737,2.542682605016876,9.89010989010989,0.0,0.0
123.12,1417.7760506102334,45971.11481435113,42683.679294737754,2.4344964793236072,20.512820512820515,21.875,0.0
126.36,984.7308623490491,31285.40667189748,28877.914069073973,2.6567874341616973,23.636363636363637,26.923076923076923,0.0
129.6,1334.140731343965,28987.61673534545,29298.118759013945,2.320227865946643,26.373626373626372,6.25,12.5
132.84,1169.2023822889712,25106.927081320755,26182.786542478716,2.1289670123630944,37.362637362637365,39.70588235294118,41.1764705882353
136.08,2165.3222580109427,43892.305275552564,72920.01357251662,2.0069117733812147,24.736842105263158,39.361702127659576,29.78723404255319
139.32,3295.097669476524,72758.87898561083,126859.3660073157,1.997589358578373,17.391304347826086,40.909090909090914,31.81818181818182
142.56,3361.9285679915133,76027.17112080337,126859.3660073157,2.0862836352479133,17.748917748917748,43.90243902439024,34.146341463414636
145.8,3306.135148141227,62627.98827390022,95033.9114372828,2.0717594028002213,18.57707509881423,41.48936170212766,36.170212765957444
149.04,3254.250794125327,73747.78495508796,96612.63592278399,2.0010569453451397,11.052631578947368,14.285714285714285,0.0
152.28,3091.7684575136204,83962.98494347754,96612.63592278399,2.034228837210107,9.15032679738562,0.0,0.0
155.52,2803.994081612794,81154.70839351903,91139.14050492668,2.2076640518712045,10.833333333333334,0.0,0.0
158.76,1502.9835668380244,44338.33225389145,38370.51941184909,2.726433895093679,16.363636363636363,0.0,0.0
