startTime(s),ecgSDNN,ecgRMSSD,ecgTriindex
0.0,68.041046,107.108475,8.5
3.240234375,127.58428,142.22989,9.0
6.48046875,132.55756,150.05229,6.0
9.720703125,194.46373,170.02599,6.3333335
12.9609375,159.21376,134.49487,6.3333335
16.201171875,164.37671,128.80428,6.3333335
19.44140625,164.989,194.02953,9.5
22.681640625,241.65085,252.77467,10.5
25.921875,289.0672,365.69626,11.5
29.162109375,284.90225,352.9078,13.0
32.40234375,282.94543,370.21777,9.0
35.642578125,267.52643,355.68805,9.0
38.8828125,268.32126,334.04605,8.666667
42.123046875,223.09682,291.1972,11.0
45.36328125,281.7498,254.56226,13.0
48.603515625,245.00795,253.52187,12.0
51.84375,246.65114,283.57068,12.0
55.083984375,255.39319,297.0716,12.0
58.32421875,248.91176,258.93643,12.5
61.564453125,263.45737,243.34799,12.5
64.8046875,229.42671,213.6355,11.0
68.044921875,174.07097,134.6474,10.5
71.28515625,216.03429,297.06802,9.5
74.525390625,262.77258,313.4062,10.0
77.765625,267.74448,301.2308,10.0
81.005859375,207.00485,294.35724,9.5
84.24609375,210.05931,282.13165,6.6666665
87.486328125,91.11281,100.11502,6.6666665
90.7265625,167.47585,172.54785,7.0
93.966796875,210.55801,228.34425,7.3333335
97.20703125,234.74286,260.36768,7.6666665
100.447265625,108.04971,119.45366,6.6666665
103.6875,250.32298,213.96973,7.0
106.927734375,250.07088,308.37982,7.0
110.16796875,273.5084,309.66266,11.0
113.408203125,260.50732,313.8244,10.5
116.6484375,266.26566,313.92407,10.5
119.888671875,207.13757,238.09663,6.3333335
123.12890625,190.7355,223.78084,6.3333335
126.369140625,139.08879,160.45898,6.3333335
129.609375,58.91541,74.77899,6.0
132.849609375,272.9172,208.1452,11.0
136.08984375,243.08937,208.34819,7.0
139.330078125,247.38327,263.5742,7.0
142.5703125,237.22395,269.38733,11.0
145.810546875,287.1154,284.73242,11.5
149.05078125,264.67004,273.50027,11.5
152.291015625,234.19626,257.7318,11.0
155.53125,243.44034,207.02335,11.0
158.771484375,219.78302,252.58571,11.0
