startTime(s),edaKurtosis,edaSkewness,edaMean,edaRMSms,edaIntegral,edaPotency,edaActivity,edaMobility,edaComplexity
0.0,-0.8601679539655898,-0.16138635441855584,-5.2572787899189886e-05,0.0004046958225190802,0.000335996144121242,1.6377870876439485e-07,1.6101481073690163e-07,0.03388456559190465,2.7327030541262576
3.5390625,0.2960084857291281,0.3199740204152263,-0.0002517662597409141,0.0004438487954153455,0.00035674318524687857,1.9700175319165323e-07,1.336155036477238e-07,0.03509243415985249,2.3158655904485452
7.078125,0.5729619091580296,-0.6057820871721946,-0.00015666060173377794,0.000340479920802642,0.00026106848247684004,1.1592657646977337e-07,9.138403233418397e-08,0.03500676018962091,2.7358370947492006
10.6171875,0.7792701610624637,-1.2802912024721675,-7.74396847431991e-06,0.000534855146475866,0.00040883458489061463,2.8607002771172013e-07,2.8601005866398887e-07,0.02446069978469795,2.8493444189097796
14.15625,0.99522810047322,-1.0539534501936036,0.00012861860952455653,0.0006105998868460201,0.00048292089068624564,3.7283222181637257e-07,3.5628947510034225e-07,0.02664221710902717,2.4240672200500817
17.6953125,-1.3123164038786979,-0.22074688991590147,-0.00012645396684715836,0.0010911417588977226,0.0009560345215931014,1.1905903380104157e-06,1.1745997322790336e-06,0.02715428421612019,2.993165933858778
21.234375,-0.8666154159928006,-0.6079222242429227,4.779303303889561e-05,0.001031538849568752,0.000895678145257052,1.0640723981696244e-06,1.0617882241625674e-06,0.02529224130076558,2.794431077736163
24.7734375,-1.30814804102789,0.16976751362927275,-8.337934525407564e-05,0.0005527357554762209,0.0004976665361533094,3.055168153818687e-07,2.985647001668703e-07,0.035315432294096755,2.1543741703887287
28.3125,-1.0665241737168014,-0.021772375306406664,-0.00019199785126323643,0.00048442380091207835,0.0003929424920089403,2.3466641889010494e-07,1.9780324400040517e-07,0.03987256296376472,2.1391124559672132
31.8515625,0.7094884703283735,-0.9217827024999298,3.400291926080762e-05,0.0006270981774347914,0.0004790079696289586,3.9325212414203724e-07,3.9209592562378027e-07,0.04229020042279103,2.052473612255491
35.390625,0.053250169677708126,-0.6615624108354664,0.0003729940568582967,0.0005341233690137217,0.0004683224345767456,2.8528777332656826e-07,1.4616320687495802e-07,0.06259588329290512,1.5778057009429978
38.9296875,-0.6313327568450275,-0.48418764168749207,-3.75049201920384e-05,0.0006547582218265498,0.0005614134045921833,4.287083290494654e-07,4.2730171001085423e-07,0.040086609095587984,2.240933584589937
