startTime(s),SpLength,SpBCEA,SpConvexHull,SpFractalDimension,SpRQARecRate,SpRQADet,SpRQALam
0.0,3202.003771752916,32418.885296476437,62419.08098639455,1.8798745860604409,37.29838709677419,35.67567567567568,31.891891891891895
3.24,2996.9873970158314,41761.95999176334,90944.1403061226,1.7392061697477237,31.827956989247312,32.0945945945946,25.0
6.48,2651.750464417968,28837.831015511634,45124.852246263064,1.7657388365291429,30.492424242424242,36.64596273291925,27.95031055900621
9.72,2833.9877312352946,23741.338135930564,29684.525575825013,2.0534089103691353,29.233870967741936,38.62068965517241,28.27586206896552
12.96,3069.553072159083,29439.15590757406,40887.13785363361,2.0862189525657406,25.37878787878788,38.80597014925373,28.358208955223883
16.2,3498.183147725621,28863.44599237625,42112.830498912605,1.9556802286175035,25.54621848739496,32.89473684210527,21.710526315789476
19.44,3941.747128293675,31052.2081235805,50859.884588643676,2.0557350990257977,23.573573573573572,30.89171974522293,21.019108280254777
22.68,3564.5199079662248,29562.631452170463,50859.884588643676,1.998428643727719,27.738264580369844,43.07692307692307,29.230769230769226
25.92,3072.271309899065,25237.156605661618,45013.8151567874,1.9738032554200282,33.033033033033036,54.31818181818181,40.0
29.16,3764.161171125266,39394.14962598983,81585.55135540478,1.988410771155445,36.98781838316722,62.275449101796404,42.81437125748503
32.4,3103.4071343108517,30275.592829193203,73423.90337953344,1.999825704038913,47.69230769230769,70.83333333333333,52.1505376344086
35.64,2782.2512905953145,24332.324069018327,51921.13713100669,2.155100734237736,54.65587044534413,77.28395061728395,62.22222222222222
38.88,2312.7006976394373,20192.588295563313,45474.32920525689,2.197439156748248,61.74603174603175,80.59125964010282,68.89460154241645
42.12,2881.7558710486605,25920.52852716405,74703.54454547842,2.138456898213605,59.48717948717949,83.1896551724138,68.9655172413793
45.36,3070.956574071724,30872.225314321626,80146.33757797559,2.1223922605887533,51.26984126984127,75.23219814241486,58.513931888544896
48.6,2762.942604962509,54804.42359784486,98557.41372285062,2.0547032577265885,40.689655172413794,68.36158192090396,56.49717514124294
51.84,3605.9685011317865,51577.032604149674,95151.57646153565,1.9984769031373462,38.25757575757576,52.97029702970297,32.17821782178218
55.08,4211.963569649377,59799.75999548379,129714.66442487738,2.052935620901288,30.481283422459892,41.228070175438596,28.654970760233915
58.32,4406.616182601354,64894.170801546265,130649.405439822,2.0456997640556867,29.545454545454547,30.769230769230774,19.230769230769234
61.56,3896.165763775891,72385.47857407953,123676.64022164047,2.074700123148516,28.615384615384617,16.666666666666664,7.526881720430107
64.8,3627.971562893701,62984.54747659916,123404.86221345048,1.9533828884297386,36.24338624338624,38.32116788321168,24.087591240875913
68.04,2715.194502746231,16735.90899504082,31435.448844576953,1.7800619316901807,43.386243386243386,44.8170731707317,30.48780487804878
71.28,2549.656580185847,18827.452894664144,32308.48781883251,1.9491194768680866,39.69230769230769,39.53488372093023,27.906976744186046
74.52,2165.3884979081995,18440.118000329734,32258.91101635038,2.101683318053962,35.32763532763533,45.564516129032256,28.2258064516129
77.76,2418.57813795871,17919.41466274956,27244.97480569454,2.1470663923796685,33.903133903133906,49.57983193277311,32.773109243697476
81.0,2782.8600052080087,20050.50459296579,36004.898184141144,2.1876717359408806,34.48275862068966,54.33333333333333,39.33333333333333
84.24,3171.4009320024466,24760.668696025554,50094.0353672083,2.1002547893187016,28.817204301075268,35.820895522388064,23.880597014925375
87.48,3841.334643794771,50550.54481638998,98276.5422584517,2.097462176832287,27.956989247311828,30.76923076923077,18.461538461538463
90.72,4412.786254948922,53975.11535680972,112151.8548484908,2.1334916528603727,24.59893048128342,29.347826086956523,18.840579710144926
93.96,4096.683295435654,56640.27346632019,115475.69215449528,2.056317620153361,25.161290322580644,28.63247863247863,17.94871794871795
97.2,3860.815360439303,54071.84249882953,104849.00489929016,2.0289971199637673,26.20967741935484,26.53846153846154,18.461538461538463
